showDate	HolidayStatus	venue name	venue city	venue state	venue country	venue capacity
11/16/2022	0	Black Cat	Washington	DC	United States	1000
11/18/2022	0	Webster Hall	New York City	NY	United States	1500
11/19/2022	0	Music Hall Of Williamsburg	Brooklyn	NY	United States	400
11/20/2022	0	Underground Arts	Philadelphia	PA	United States	466
11/22/2022	0	Paradise Rock Club	Boston	MA	United States	1000
11/25/2022	0	Spirit	Pittsburgh	PA	United States	500
11/27/2022	0	Metro	Chicago	IL	United States	1100
11/29/2022	0	High Noon Saloon	Madison	WI	United States	400
12/29/2023	2	Cobb Energy Pac	Atlanta	GA	United States	2750
1/13/2022	0	Revolution Hall	Portland	OR	United States	1700
2/11/2022	0	Santander Performing Arts Centre	Reading	PA	United States	2800
2/12/2022	0	Borgata Hotel Casion & Spa: Music Box	Atlantic City	NJ	United States	1707
4/20/2022	0	The Catalyst Club	Santa Cruz	CA	United States	400
5/29/2023	1	The Pageant/Delmar Hall	St. Louis	MO	United States	2400
6/5/2023	0	The Fillmore	Detroit	MI	United States	1426
6/8/2023	0	Uptown Theater	Kansas City	MO	United States	2400
7/18/2022	0	The Chapel	San Francisco	CA	United States	1000
2/22/2022	0	Ppg Paints Arena	Pittsburgh	PA	United States	19000
2/23/2022	0	Wells Fargo Center	Philadelphia	PA	United States	19300
2/28/2022	0	Td Garden	Boston	MA	United States	19500
3/8/2022	0	Mvp Arena	Albany	NY	United States	17000
2/4/2023	0	Ppl Center	Allentown	PA	United States	8500
2/5/2023	0	John Paul Jones Arena	Charlottesville	VA	United States	14593
2/8/2023	0	Enmarket Arena	Savannah	GA	United States	9500
2/9/2023	0	Macon City Auditorium	Macon	GA	United States	2688
2/10/2023	0	Colonial Life Arena	Columbia	CA	United States	19000
2/11/2023	0	Greensboro Coliseum	Greensboro	NC	United States	23000
2/14/2023	0	Rupp Arena	Lexington	KY	United States	20500
2/16/2023	0	Ferguson Center Of The Arts	Newport News	VA	United States	1725
2/19/2023	2	Brookshire Grocery Arena	Bossier City	LA	United States	14000
2/23/2023	0	Cajundome Arena & Convention Center	Lafayette	LA	United States	8761
